Festival/Fair Name,Type,Region/District,Time/Month,Duration,Core Description,Cultural Significance
Taj Mahotsav,Cultural Fair,Agra (Uttar Pradesh),March (20–29),10 days,"Taj Mahotsav is a major cultural fair held in Agra to promote Indian arts, crafts, culture, and cuisine. Artisans from across the country showcase traditional handicrafts, while renowned national and international artists perform music and dance.","Promotes traditional craftsmanship and cultural exchange while enhancing tourism around the Taj Trapezium Zone"
Deepotsav,Cultural-Religious Festival,Ayodhya (Uttar Pradesh),Oct–Nov (around Diwali),1–3 days,"Deepotsav transforms Ayodhya into a sea of illuminated diyas along the Saryu River, with cultural performances depicting scenes from the Ramayana and artists dressed as divine figures.","Celebrates Ayodhya’s Ramayana heritage and symbolizes devotion, light, and spiritual revival"
Rangotsav,Cultural Festival,Mathura (Uttar Pradesh),Feb–Mar (pre-Holi period),"Several weeks","Rangotsav is an extended cultural celebration featuring elaborate ceremonies, performances, and events linked to the Braj region’s traditions and Holi festivities.","Showcases Braj culture and Krishna lore; attracts global cultural tourism"
Lucknow Mahotsav,Cultural Festival,Lucknow (Uttar Pradesh),Nov–Dec,"10–15 days","Lucknow Mahotsav highlights the city’s Nawabi culture through music, dance, poetry, cuisine, crafts, and traditional games.","Preserves Awadhi heritage and promotes local arts and cuisine"
Ganga Mahotsav,Cultural Fair,Varanasi (Uttar Pradesh),Nov (around Kartik Purnima),5–7 days,"Ganga Mahotsav is held on the ghats of the Ganga featuring classical music, cultural programs, a national handicrafts fair, and traditional sports.","Celebrates the spiritual and cultural life of the Ganga while supporting artisans and performers"
Dev Deepawali,Religious Festival,Varanasi (Uttar Pradesh),Nov (Kartik Purnima),1 day,"Dev Deepawali marks the culmination of Ganga Mahotsav, when millions of earthen lamps illuminate the ghats of the Ganga accompanied by rituals and chants.","Symbolizes divine descent to Earth and the sacredness of the Ganga"
Pushkar Fair,Fair,Pushkar (Rajasthan),Oct–Nov (Kartik Purnima),"7–10 days","Pushkar Fair is one of the world’s largest camel and livestock fairs combined with cultural performances, competitions, and pilgrim rituals.","Blend of commerce, pilgrimage, and folk culture"
Surajkund Mela,Cultural Fair,Faridabad (Haryana),Feb,"2 weeks","Surajkund Mela showcases traditional handicrafts, handlooms, folk music, and cuisine from India and partner countries.","Major platform for rural artisans and international cultural exchange"
Kumbh Mela,Religious Fair,Prayagraj / Haridwar / Nashik / Ujjain,Varies (astrological cycle),"Several weeks","Kumbh Mela is the largest religious gathering in the world, where pilgrims take ritual baths in sacred rivers.","Represents faith, renunciation, and collective spiritual identity"
Hemis Festival,Religious-Cultural Festival,Hemis Monastery (Ladakh),June–July,2 days,"Hemis Festival features masked dances by monks celebrating Guru Padmasambhava’s birth anniversary.","Preserves Tibetan Buddhist traditions and monastic culture"
Hornbill Festival,Cultural Festival,Kohima (Nagaland),December (1–10),10 days,"Hornbill Festival brings together the tribes of Nagaland to display traditional music, dance, crafts, and indigenous games.","Celebrates tribal identity and promotes cultural unity"
Rann Utsav,Cultural Festival,Kutch (Gujarat),Nov–Feb,"Several months","Rann Utsav is held in the White Desert of Kutch showcasing folk culture, crafts, music, dance, and desert tourism.","Promotes regional culture and sustainable tourism"
Khajuraho Dance Festival,Cultural Festival,Khajuraho (Madhya Pradesh),Feb,7 days,"Festival featuring classical Indian dance forms performed against the backdrop of Khajuraho temples.","Celebrates classical arts and architectural heritage"
