Festival/Fair Name,Type,Region/District,Time/Month,Duration,Core Description,Cultural Significance
Kumbh Mela,Religious Fair,Prayagraj (Allahabad); also Haridwar/Nashik/Ujjain,Varies (every 12 years),Several weeks,"Kumbh Mela is one of the largest religious gatherings in the world, where pilgrims, sages, and saints gather to take ritual baths in sacred rivers believing the waters to be divine nectar.","Symbolizes faith, renunciation, and the collective spiritual identity of Hindu society"
Ardh Kumbh Mela,Religious Fair,Prayagraj (Allahabad),Varies (every 6 years),Several weeks,"Ardh Kumbh is a mid-cycle version of the Kumbh Mela attracting lakhs of devotees who perform ritual bathing and religious observances.","Represents continuity of spiritual traditions between full Kumbh cycles"
Ramlila,Cultural-Religious Festival,Across Uttar Pradesh,Sep–Oct (Dussehra period),Several days,"Ramlila is the dramatic enactment of the Ramcharitmanas depicting the life of Lord Rama, performed in towns and cities across the state.","Preserves epic storytelling traditions and reinforces moral and cultural values"
Ram Navmi Mela,Religious Fair,Ayodhya,April (Chaitra Navami),1–3 days,"Ram Navmi Mela is celebrated in Ayodhya to mark the birth of Lord Rama, drawing devotees to temples such as Kanak Bhawan for worship and prayers.","Strengthens Ayodhya’s identity as a major Ramayana pilgrimage center"
Shravan Jhula Mela,Religious Fair,Ayodhya (Mani Parvat area),July–August (Shravan),Entire month,"Shravan Jhula Mela involves placing idols of Lord Rama, Sita, and Lakshman on swings hung from trees during the sacred month of Shravan.","Celebrates devotional joy and seasonal religious traditions"
Jhanda Fair,Religious Fair,Dehradun (Jhanda Chowk),March (6th day after Holi),Several days,"Jhanda Fair commemorates the visit of Guru Ram Rai to Dehradun in 1699, marked by the ceremonial hoisting of a large flag at Jhanda Chowk.","Holds historical and spiritual significance for Sikh and local communities"
Tapkeshwar Fair,Religious Fair,Dehradun,Feb–Mar (Shivratri),1–2 days,"Tapkeshwar Fair is held at the Tapkeshwar Shiva Temple during Shivratri, attracting devotees for worship and rituals.","Represents Shaivite devotion and regional pilgrimage culture"
Barsana Holi,Cultural-Religious Festival,Barsana (near Mathura),Feb–Mar (pre-Holi period),Several days,"Barsana Holi, also known as Latthmar Holi, reenacts the playful legend of Krishna and Radha, where women chase men with sticks amid colors and celebrations.","A unique expression of Braj culture blending devotion, folklore, and festivity"
Baldeo Holi,Cultural Festival,Baldeo (near Mathura),Feb–Mar (Holi),1–2 days,"Holi celebrations at Baldeo follow Barsana Holi, featuring traditional rituals, colors, and Krishna-centric festivities.","Extends Braj Holi traditions beyond Barsana"
Nandgaon Holi,Cultural Festival,Nandgaon (near Barsana),Feb–Mar (Holi),1–2 days,"Nandgaon Holi continues the Braj region’s unique Holi celebrations linked to the legends of Krishna.","Preserves regional folk customs of Braj"
Kampil Fair,Religious Fair,Kampil (Kasganj, Etah district),March,5 days,"Kampil Fair is a Jain religious fair held at the birthplace of the 13th Tirthankara Vimal Nath, attracting devotees to the banks of the Ganga.","Important Jain pilgrimage preserving ancient religious heritage"
Taj Mahotsav,Cultural Fair,Agra,March (20–29),10 days,"Taj Mahotsav is organized by UP Tourism to celebrate the arts, crafts, culture, and cuisine of the Braj region along the Yamuna river.","Promotes traditional craftsmanship and cultural tourism"
Yoga Festival,Cultural Festival,Varanasi & Prayagraj,Varies (annual),Several days,"The Yoga Festival promotes meditation and yogic practices through teachings by sages and yogis in spiritually significant cities.","Highlights India’s yogic heritage and global spiritual influence"
